Observed,strata,x-val,y-val,resource,StepLength
1,177,76,66,2.5387070,0.0000000
1,178,68,70,1.7433770,8.9442719
1,179,68,64,1.5486300,6.0000000
1,180,67,65,1.9424850,1.4142136
1,181,76,66,2.5387070,9.0553851
1,182,75,67,1.8707250,1.4142136
1,183,76,66,2.5387070,1.4142136
1,184,76,66,2.5387070,0.0000000
1,185,76,66,2.5387070,0.0000000
1,186,76,66,2.5387070,0.0000000
1,187,75,67,1.8707250,1.4142136
1,188,76,66,2.5387070,1.4142136
1,189,76,66,2.5387070,0.0000000
1,190,76,66,2.5387070,0.0000000
1,191,76,66,2.5387070,0.0000000
1,192,76,66,2.5387070,0.0000000
1,193,76,66,2.5387070,0.0000000
1,194,76,66,2.5387070,0.0000000
1,195,76,66,2.5387070,0.0000000
1,196,76,66,2.5387070,0.0000000
1,197,76,66,2.5387070,0.0000000
1,198,76,66,2.5387070,0.0000000
1,199,76,66,2.5387070,0.0000000
0,1,52,53,0.1213139,3.6055513
0,1,50,50,-1.8237520,0.0000000
0,1,52,51,-0.1242853,2.2360680
0,1,50,53,-0.6997847,3.0000000
0,1,56,56,-0.1245809,8.4852814
0,1,54,49,-1.3102790,4.1231056
0,1,54,50,-1.1390860,4.0000000
0,1,48,47,-0.8928430,3.6055513
0,1,52,56,0.0028715,6.3245553
0,1,57,54,0.5119971,8.0622577
0,2,68,63,1.4867200,1.0000000
0,2,65,62,1.4764410,2.2360680
0,2,67,66,1.7483070,3.0000000
0,2,66,65,1.2343560,2.2360680
0,2,67,63,1.7725150,0.0000000
0,2,68,63,1.4867200,1.0000000
0,2,67,64,1.5547810,1.0000000
0,2,68,71,1.4091270,8.0622577
0,2,66,64,1.3575900,1.4142136
0,2,66,64,1.3575900,1.4142136
0,3,67,66,1.7483070,0.0000000
0,3,62,55,0.4728269,12.0830460
0,3,71,65,0.4786522,4.1231056
0,3,67,71,1.1380280,5.0000000
0,3,64,66,1.0025270,3.0000000
0,3,65,76,0.0568793,10.1980390
0,3,61,68,-0.5441359,6.3245553
0,3,63,69,-1.1188200,5.0000000
0,3,66,62,1.0366160,4.1231056
