Observed,strata,x-val,y-val,resource,StepLength,Bearing,CosTA
0,13,63,90,-0.9384792,37.4833296,2.9808299,-0.999990382
0,13,95,56,-2.070093,28.4429253,-1.7475052,-0.011559916
0,13,81,84,-0.99453,19,3.1415927,-0.986393912
0,13,71,42,-1.533533,51.0392006,-2.1751018,-0.425176403
0,14,88,79,0.2891149,7.8102497,-0.8760581,-0.684191174
0,14,89,91,-1.441436,8.4852814,0.7853982,-0.664363788
0,14,83,88,-1.126747,3,1.5707963,0.058722026
0,14,84,67,-1.1864,18.0277564,-1.5152978,-0.114005962
0,14,98,87,-0.20518,15.132746,0.1325515,-0.981756491
0,14,76,99,-0.972663,15.6524758,2.0344439,0.498964441
0,14,69,2,0.7933613,84.172442,-1.7378981,0.108134068
0,14,69,59,0.6219095,29.5296461,-2.0647377,0.421578636
0,14,78,39,-0.5505978,46.2709412,-1.6790669,0.049494489
0,14,92,90,-0.9293225,10.2956301,0.5070985,-0.844130858
0,15,87,64,-1.851953,17.0880075,-1.929567,0.104684773
0,15,56,89,-0.0094811,38.0788655,2.9029833,-0.974785573
0,15,93,69,-1.462811,11,-1.5707963,0.447213611
0,15,75,46,-0.2793326,38.4707681,-2.0576956,-0.023249578
0,15,80,97,-1.280714,21.4009346,2.223643,-0.898567531
0,15,99,69,0.3184341,12.5299641,-1.0714496,0.8209052
0,15,81,60,0.069289,23.3238076,-2.1112158,-0.076696481
0,15,48,24,-0.6882913,71.8401002,-2.2477112,-0.211654276
0,15,41,76,0.0020497,52.1536192,-3.0648208,-0.85749295
0,15,70,45,-0.6784046,41.8807832,-2.1521765,-0.117460781
0,16,98,89,0.1879125,10.198039,1.3734008,-0.124034813
0,16,91,75,-0.7208299,6.4031242,-2.4668517,-0.54325123
0,16,97,80,0.4479476,1.4142136,0.7853982,0.447213522
0,16,43,72,0.4151093,53.4602656,-3.0102772,-0.899109244
0,16,44,40,-0.8129895,65,-2.4980915,-0.569209905
0,16,84,76,-1.102394,12.3693169,-2.896614,-0.843661468
0,16,45,97,-0.5996996,54.0832691,2.8023,-0.999846142
0,16,70,89,-1.753047,27.8567766,2.7744188,-0.998968541
0,16,90,87,-0.8835903,10,2.2142974,-0.822192197
0,16,78,62,0.7469046,24.7588368,-2.3847581,-0.472575727
0,17,71,83,-2.134109,28.4429253,2.9648838,-0.989499873
0,17,61,82,0.3462006,38.2099463,3.0367157,-0.976574942
0,17,94,75,0.2462517,5.8309519,-2.6011732,-0.650791374
0,17,93,80,0.5289929,6.3245553,2.8198421,-1
0,17,99,73,-0.3808179,5,-1.5707963,0.316227835
