latitude,longitude,elevation
  51.97881,-115.50612,1688.49316
  51.72842,-115.57190,1569.00000
  52.08094,-115.86407,1622.46130
  52.14495,-115.73102,1572.59106
  51.75372,-115.79418,2273.92065
  52.01098,-115.50237,1521.23010
  51.94668,-115.68969,1548.72266
  52.01559,-115.84464,2024.21460
  51.92945,-115.69135,1554.00000
  52.11906,-115.78720,1676.77100
  52.07550,-115.81393,1719.11658
  51.79431,-115.50858,2038.94226
  51.97100,-115.69114,1592.82312
  51.84317,-115.77682,1880.16992
  51.73121,-115.82605,2101.43311
  52.14075,-115.76867,1620.30640
  51.83215,-115.86166,2831.98853
  51.98245,-115.59935,1460.69617
  51.97076,-115.62408,1514.51270
  51.91365,-115.77721,1831.38428
  52.05689,-115.69065,1560.67590
  52.11064,-115.48421,1599.68311
  51.84196,-115.77431,1860.94385
  51.93318,-115.84290,2559.90283
  51.86939,-115.84204,1679.68811
  51.82038,-115.76286,1919.43152
  51.84813,-115.54621,2011.66309
  52.00687,-115.86771,2003.69739
  52.07377,-115.63186,1547.90332
  52.01128,-115.89259,1920.22705
  52.00343,-115.89807,2017.67188
  51.97205,-115.63837,1481.16064
  51.97317,-115.52033,1882.72290
  51.87713,-115.64393,1916.90088
  52.14879,-115.70531,1694.92285
  51.81033,-115.54103,1899.51843
  51.86546,-115.75460,1780.42810
  52.03923,-115.51065,1555.55347
  51.89710,-115.83971,2149.29175
  51.82928,-115.85836,2596.81714
  52.03739,-115.77394,1670.59802
  52.06444,-115.55332,1556.97131
  52.03482,-115.64653,1481.80396
  51.88780,-115.62378,1958.21606
  52.08708,-115.85325,1627.35901
  51.98893,-115.57919,1456.00000
  52.08417,-115.85628,1624.01343
  51.94676,-115.85768,2241.10303
  51.99537,-115.69764,1778.35986
  51.96097,-115.55007,1623.09644
  52.12819,-115.58443,1616.13245
  51.97971,-115.70148,1646.71069
  52.15229,-115.88993,1804.68225
  52.02894,-115.55680,1551.85547
  51.88227,-115.59500,1979.67725
  52.00857,-115.67437,1582.60718
  51.87188,-115.55260,1990.51770
  52.07563,-115.53218,1654.71338
  51.78171,-115.77051,2306.00488
  51.79229,-115.52825,1866.84680
  52.03163,-115.58354,1537.51257
  51.99493,-115.56852,1446.59656
  51.80974,-115.70251,2098.32935
  52.12078,-115.82674,1650.87671
  51.86844,-115.82108,1652.06519
  51.85332,-115.73430,1760.37244
  51.97521,-115.81392,2233.39062
  51.99847,-115.91341,1870.92554
  52.06940,-115.86533,1746.92627
  51.89483,-115.80440,2056.83789
  52.14922,-115.51244,1546.95679
  51.98416,-115.59095,1466.95300
  51.87924,-115.65640,1845.64453
  51.91586,-115.67107,2007.04993
  51.84543,-115.62667,2457.60522
  52.07836,-115.88862,1760.01221
  52.04213,-115.58568,1452.53357
  51.98418,-115.90683,1911.02100
  52.11615,-115.88592,1779.49817
  51.93976,-115.56313,1508.46033
  52.10118,-115.61721,1616.60632
  52.04637,-115.70328,1559.02234
  52.14857,-115.84044,1918.66833
  51.80538,-115.56041,1949.58289
  52.13539,-115.71920,1534.78027
  51.92111,-115.62466,1778.67554
  51.77722,-115.69680,2454.79565
  51.76765,-115.89877,2683.92090
  52.02463,-115.83270,1819.91772
  52.08535,-115.53334,1710.55127
  52.12997,-115.63446,1644.75562
  52.08233,-115.78703,1809.46924
  51.75624,-115.57035,1672.96765
  52.14375,-115.57832,1458.98450
  51.91348,-115.48290,1633.32446
  51.97098,-115.57099,1692.03088
  51.89542,-115.76313,1995.56897
  51.83331,-115.76630,1811.96875
  51.88452,-115.64728,1670.05542
  51.85782,-115.76843,1760.52869
  52.01985,-115.63762,1700.22107
  51.99649,-115.82287,2135.90527
  51.78408,-115.66460,2062.19580
  51.80287,-115.68441,2043.56909
  51.93511,-115.62213,1561.34338
  51.75934,-115.52883,1681.99048
  51.99027,-115.76560,1665.05505
  51.99873,-115.83534,2226.68628
  51.80043,-115.82837,2484.61084
  51.88489,-115.86517,2295.81567
  51.89404,-115.89390,2267.98706
  51.83276,-115.50543,2202.41016
  51.92507,-115.53719,1642.04175
  51.96829,-115.62310,1595.58704
  52.01545,-115.83316,1863.17554
  51.79712,-115.64271,2024.10693
  51.74743,-115.62061,1800.54041
  51.81450,-115.72430,2247.39966
  52.09251,-115.53018,1704.34753
  51.76395,-115.66281,2284.51221
  51.91215,-115.89776,2223.49194
  51.73301,-115.70024,1922.72913
  51.96229,-115.76861,2052.75220
  51.86863,-115.63046,1999.53040
