"day","X","Y"
"89",937.283967591327,-133.778259927033
"90",930.641526757177,-156.152421199066
"91",905.359093205125,-211.390169697413
"92",921.757418927892,-204.548645202238
"93",891.281733689044,-207.979701452354
"94",888.232912528967,-229.059743936188
"95",916.531886136596,-215.690227171017
"96",925.650566976453,-228.837870306815
"97",920.295597927834,-244.262487519642
"98",909.380116599091,-278.830669176548
"99",917.201665085376,-316.937783744879
"100",857.986257408641,-259.664591931935
"101",918.533763800329,-340.03001128881
"102",872.921056295744,-315.242427041869
"103",934.348388251979,-306.936597563092
"104",966.63025731454,-308.634124051247
"105",950.578699814064,-255.397873405366
"106",966.311787832088,-266.602566196469
"107",973.61347549849,-269.379657841725
"108",1004.43106012054,-253.46004001714
"109",1006.05766046783,-208.38207986834
"110",988.885300467068,-179.661263999486
"111",928.479860105951,-214.217473255136
"112",943.251810263059,-220.436200548213
"113",939.0953394798,-213.428843001704
"114",935.395217691979,-211.636263842956
"115",908.585008012851,-132.78111488351
"116",917.877901645916,-197.28330937931
"117",888.04200091331,-165.752194065477
"118",854.944267536575,-214.623643962278
"119",866.966370277986,-224.959592981763
"120",846.000608725064,-194.047298332017
"121",865.763362057586,-189.375116500817
"122",831.491892178089,-165.770392406863
"123",837.117267969359,-162.966838195208
"124",850.139426786823,-177.733767070177
"125",775.280172049975,-144.986073051615
"126",775.280172049975,-144.986073051615
"127",706.519653999131,-239.469820989474
"128",719.087903115999,-316.130097502459
"129",738.036163459571,-402.298033081705
"130",705.6102842572,-446.852203327992
"131",901.989396510127,-469.482547442881
"132",1091.03991911861,-579.776207585474
"133",1145.3796335779,-648.827028087611
"134",1251.29380796093,-729.781112739936
"135",1162.1292290444,-908.010325924451
"136",1099.16299784501,-1025.03784687167
"137",1057.96739107436,-1050.76400164529
"138",927.564392684161,-1101.88940990254
"139",922.052651734822,-1119.82593030464
"140",906.841482292757,-1184.56906478685
"141",847.409125890533,-1260.5636317007
"142",797.259983917632,-1327.18436637016
"143",713.412887480072,-1319.62967855926
"144",540.569981501611,-1237.55555538696
"145",597.986279489682,-1110.60819581618
"146",601.888334263927,-1053.69122720341
"147",596.862959083003,-991.62106152601
"148",722.351701638834,-921.64911145401
"149",869.075625614658,-1079.79126368324
"150",957.280681381019,-1086.07694322596
"151",1062.8022333074,-1104.65957913905
"152",1110.27651495435,-1091.5132263198
"153",1251.83402282984,-1186.84606424798
"154",1254.25380739978,-1192.48068647901
"155",1221.96032547914,-1317.368135808
"156",1192.56376159576,-1420.22872475257
"157",1312.4435093368,-1530.50864482636
"158",1411.33408322338,-1639.97852664114
"159",1519.54248318721,-1608.342634529
"160",1504.40351403088,-1477.38621709324
"161",1574.46365804056,-1411.00536058791
"162",1744.942323594,-1340.88302729679
"163",1954.10480399241,-1411.50869621449
"164",2116.93290240278,-1371.0082681853
"165",2158.51910685155,-1353.77305506396
"166",2232.83236645842,-1378.10239496553
"167",2409.71694901219,-1324.99395116343
"168",2530.21728357234,-1264.71539819542
"169",2538.29072896461,-1221.31427842459
"170",2564.41339065991,-1224.19141657146
