"","Month","Temperature","Year","nMonth","Date","Time"
"1882","Jun",12.2,1745,6,1745-06-15,-82.014
"2241","Jul",16.1,1745,7,1745-07-15,-81.984
"2600","Aug",15,1745,8,1745-08-15,-81.953
"2959","Sep",14.2,1745,9,1745-09-15,-81.922
"3318","Oct",10.3,1745,10,1745-10-15,-81.892
"3677","Nov",5.8,1745,11,1745-11-15,-81.861
"4036","Dec",2.7,1745,12,1745-12-15,-81.831
"88","Jan",2.5,1746,1,1746-01-15,-81.8
"447","Feb",1.4,1746,2,1746-02-15,-81.769
"806","Mar",3.1,1746,3,1746-03-15,-81.741
"1165","Apr",6.9,1746,4,1746-04-15,-81.71
"1524","May",12.8,1746,5,1746-05-15,-81.68
"1883","Jun",14.3,1746,6,1746-06-15,-81.649
"2242","Jul",15.8,1746,7,1746-07-15,-81.619
"2601","Aug",15.9,1746,8,1746-08-15,-81.588
"2960","Sep",14.2,1746,9,1746-09-15,-81.557
"3319","Oct",7.8,1746,10,1746-10-15,-81.527
"3678","Nov",3.3,1746,11,1746-11-15,-81.496
"4037","Dec",5.3,1746,12,1746-12-15,-81.466
"89","Jan",3.3,1747,1,1747-01-15,-81.435
"448","Feb",5.8,1747,2,1747-02-15,-81.404
"807","Mar",2.5,1747,3,1747-03-15,-81.376
"1166","Apr",8.1,1747,4,1747-04-15,-81.345
"1525","May",12.2,1747,5,1747-05-15,-81.315
"1884","Jun",14.7,1747,6,1747-06-15,-81.284
"2243","Jul",16.9,1747,7,1747-07-15,-81.254
"2602","Aug",18.3,1747,8,1747-08-15,-81.223
"2961","Sep",14.4,1747,9,1747-09-15,-81.192
"3320","Oct",9.4,1747,10,1747-10-15,-81.162
"3679","Nov",6.9,1747,11,1747-11-15,-81.131
"4038","Dec",5.3,1747,12,1747-12-15,-81.101
"90","Jan",2.5,1748,1,1748-01-15,-81.07
"449","Feb",1.8,1748,2,1748-02-15,-81.039
"808","Mar",1.8,1748,3,1748-03-15,-81.01
"1167","Apr",6.3,1748,4,1748-04-15,-80.979
"1526","May",10.4,1748,5,1748-05-15,-80.949
"1885","Jun",14.8,1748,6,1748-06-15,-80.918
"2244","Jul",15.4,1748,7,1748-07-15,-80.888
"2603","Aug",15.8,1748,8,1748-08-15,-80.857
"2962","Sep",14.2,1748,9,1748-09-15,-80.826
"3321","Oct",9.2,1748,10,1748-10-15,-80.796
"3680","Nov",7.1,1748,11,1748-11-15,-80.765
"4039","Dec",6,1748,12,1748-12-15,-80.735
"91","Jan",5.3,1749,1,1749-01-15,-80.704
"450","Feb",3.6,1749,2,1749-02-15,-80.673
"809","Mar",5.3,1749,3,1749-03-15,-80.645
"1168","Apr",6.8,1749,4,1749-04-15,-80.614
"1527","May",12.3,1749,5,1749-05-15,-80.584
"1886","Jun",11.9,1749,6,1749-06-15,-80.553
"2245","Jul",17.2,1749,7,1749-07-15,-80.523
"2604","Aug",15.6,1749,8,1749-08-15,-80.492
"2963","Sep",13.8,1749,9,1749-09-15,-80.461
"3322","Oct",10.1,1749,10,1749-10-15,-80.431
"3681","Nov",6.7,1749,11,1749-11-15,-80.4
"4040","Dec",4.7,1749,12,1749-12-15,-80.37
"92","Jan",4,1750,1,1750-01-15,-80.339
"451","Feb",6.7,1750,2,1750-02-15,-80.308
"810","Mar",8.2,1750,3,1750-03-15,-80.28
"1169","Apr",7.7,1750,4,1750-04-15,-80.249
"1528","May",10.7,1750,5,1750-05-15,-80.219
"1887","Jun",14.2,1750,6,1750-06-15,-80.188
"2246","Jul",17.2,1750,7,1750-07-15,-80.158
"2605","Aug",15,1750,8,1750-08-15,-80.127
"2964","Sep",15.2,1750,9,1750-09-15,-80.096
"3323","Oct",9.2,1750,10,1750-10-15,-80.066
"3682","Nov",4,1750,11,1750-11-15,-80.035
"4041","Dec",4.2,1750,12,1750-12-15,-80.005
"93","Jan",4,1751,1,1751-01-15,-79.974
"452","Feb",1.5,1751,2,1751-02-15,-79.943
"811","Mar",6.2,1751,3,1751-03-15,-79.915
"1170","Apr",7.1,1751,4,1751-04-15,-79.884
"1529","May",9.3,1751,5,1751-05-15,-79.854
"1888","Jun",14.9,1751,6,1751-06-15,-79.823
"2247","Jul",15.3,1751,7,1751-07-15,-79.793
"2606","Aug",14.6,1751,8,1751-08-15,-79.762
"2965","Sep",12.6,1751,9,1751-09-15,-79.731
"3324","Oct",8.3,1751,10,1751-10-15,-79.701
"3683","Nov",4.3,1751,11,1751-11-15,-79.67
"4042","Dec",3,1751,12,1751-12-15,-79.64
"94","Jan",3.2,1752,1,1752-01-15,-79.609
"453","Feb",3.1,1752,2,1752-02-15,-79.578
"812","Mar",5.6,1752,3,1752-03-15,-79.549
"1171","Apr",6.8,1752,4,1752-04-15,-79.518
"1530","May",10.3,1752,5,1752-05-15,-79.488
"1889","Jun",14.8,1752,6,1752-06-15,-79.457
"2248","Jul",15.6,1752,7,1752-07-15,-79.427
"2607","Aug",15.7,1752,8,1752-08-15,-79.396
"2966","Sep",13.9,1752,9,1752-09-15,-79.365
"3325","Oct",10.6,1752,10,1752-10-15,-79.335
"3684","Nov",6.5,1752,11,1752-11-15,-79.304
"4043","Dec",4.2,1752,12,1752-12-15,-79.274
"95","Jan",2.2,1753,1,1753-01-15,-79.243
"454","Feb",3.6,1753,2,1753-02-15,-79.212
"813","Mar",6,1753,3,1753-03-15,-79.184
"1172","Apr",7.5,1753,4,1753-04-15,-79.153
"1531","May",12.1,1753,5,1753-05-15,-79.123
"1890","Jun",14.6,1753,6,1753-06-15,-79.092
"2249","Jul",15.2,1753,7,1753-07-15,-79.062
"2608","Aug",15.7,1753,8,1753-08-15,-79.031
"2967","Sep",13.1,1753,9,1753-09-15,-79
"3326","Oct",10,1753,10,1753-10-15,-78.97
"3685","Nov",4.6,1753,11,1753-11-15,-78.939
"4044","Dec",4.4,1753,12,1753-12-15,-78.909
"96","Jan",3.3,1754,1,1754-01-15,-78.878
"455","Feb",2.8,1754,2,1754-02-15,-78.847
"814","Mar",3.4,1754,3,1754-03-15,-78.819
"1173","Apr",6.7,1754,4,1754-04-15,-78.788
"1532","May",12.2,1754,5,1754-05-15,-78.758
"1891","Jun",13.6,1754,6,1754-06-15,-78.727
"2250","Jul",14.7,1754,7,1754-07-15,-78.697
"2609","Aug",15.7,1754,8,1754-08-15,-78.666
"2968","Sep",13.9,1754,9,1754-09-15,-78.635
"3327","Oct",10.4,1754,10,1754-10-15,-78.605
"3686","Nov",5.7,1754,11,1754-11-15,-78.574
"4045","Dec",3.6,1754,12,1754-12-15,-78.544
"97","Jan",2.2,1755,1,1755-01-15,-78.513
"456","Feb",1.2,1755,2,1755-02-15,-78.482
"815","Mar",3.9,1755,3,1755-03-15,-78.454
"1174","Apr",10,1755,4,1755-04-15,-78.423
"1533","May",9.4,1755,5,1755-05-15,-78.393
"1892","Jun",15.7,1755,6,1755-06-15,-78.362
"2251","Jul",15,1755,7,1755-07-15,-78.332
"2610","Aug",14.6,1755,8,1755-08-15,-78.301
"2969","Sep",13.5,1755,9,1755-09-15,-78.27
"3328","Oct",8.4,1755,10,1755-10-15,-78.24
"3687","Nov",4.7,1755,11,1755-11-15,-78.209
"4046","Dec",3.9,1755,12,1755-12-15,-78.179
"98","Jan",4.4,1756,1,1756-01-15,-78.148
"457","Feb",4.6,1756,2,1756-02-15,-78.117
"816","Mar",6,1756,3,1756-03-15,-78.088
"1175","Apr",6.7,1756,4,1756-04-15,-78.057
"1534","May",9.1,1756,5,1756-05-15,-78.027
"1893","Jun",13.8,1756,6,1756-06-15,-77.996
"2252","Jul",16.1,1756,7,1756-07-15,-77.966
"2611","Aug",14.7,1756,8,1756-08-15,-77.935
"2970","Sep",13.6,1756,9,1756-09-15,-77.904
"3329","Oct",9.4,1756,10,1756-10-15,-77.874
"3688","Nov",3.9,1756,11,1756-11-15,-77.843
"4047","Dec",2.9,1756,12,1756-12-15,-77.813
"99","Jan",0.3,1757,1,1757-01-15,-77.782
"458","Feb",4,1757,2,1757-02-15,-77.751
"817","Mar",4.9,1757,3,1757-03-15,-77.723
"1176","Apr",8.1,1757,4,1757-04-15,-77.692
"1535","May",10.7,1757,5,1757-05-15,-77.662
"1894","Jun",14,1757,6,1757-06-15,-77.631
"2253","Jul",18.4,1757,7,1757-07-15,-77.601
"2612","Aug",15.2,1757,8,1757-08-15,-77.57
"2971","Sep",13.3,1757,9,1757-09-15,-77.539
"3330","Oct",8.2,1757,10,1757-10-15,-77.509
"3689","Nov",7.1,1757,11,1757-11-15,-77.478
"4048","Dec",3.2,1757,12,1757-12-15,-77.448
"100","Jan",2.6,1758,1,1758-01-15,-77.417
"459","Feb",3.8,1758,2,1758-02-15,-77.386
"818","Mar",5.2,1758,3,1758-03-15,-77.358
"1177","Apr",7.2,1758,4,1758-04-15,-77.327
"1536","May",13.8,1758,5,1758-05-15,-77.297
"1895","Jun",14.6,1758,6,1758-06-15,-77.266
"2254","Jul",14.2,1758,7,1758-07-15,-77.236
"2613","Aug",16.4,1758,8,1758-08-15,-77.205
"2972","Sep",11.9,1758,9,1758-09-15,-77.174
"3331","Oct",8.1,1758,10,1758-10-15,-77.144
"3690","Nov",5.7,1758,11,1758-11-15,-77.113
"4049","Dec",3.9,1758,12,1758-12-15,-77.083
"101","Jan",5.9,1759,1,1759-01-15,-77.052
"460","Feb",5.8,1759,2,1759-02-15,-77.021
"819","Mar",6.1,1759,3,1759-03-15,-76.993
"1178","Apr",8.6,1759,4,1759-04-15,-76.962
"1537","May",12.1,1759,5,1759-05-15,-76.932
"1896","Jun",15,1759,6,1759-06-15,-76.901
"2255","Jul",18.2,1759,7,1759-07-15,-76.871
"2614","Aug",16.3,1759,8,1759-08-15,-76.84
"2973","Sep",13.5,1759,9,1759-09-15,-76.809
"3332","Oct",10.9,1759,10,1759-10-15,-76.779
"3691","Nov",5.1,1759,11,1759-11-15,-76.748
"4050","Dec",2.5,1759,12,1759-12-15,-76.718
"102","Jan",1.9,1760,1,1760-01-15,-76.687
"461","Feb",3.8,1760,2,1760-02-15,-76.656
"820","Mar",6.6,1760,3,1760-03-15,-76.627
"1179","Apr",9.4,1760,4,1760-04-15,-76.596
"1538","May",11.7,1760,5,1760-05-15,-76.566
"1897","Jun",15.2,1760,6,1760-06-15,-76.535
"2256","Jul",16.9,1760,7,1760-07-15,-76.505
"2615","Aug",15.8,1760,8,1760-08-15,-76.474
"2974","Sep",15.7,1760,9,1760-09-15,-76.443
"3333","Oct",9.2,1760,10,1760-10-15,-76.413
"3692","Nov",5.7,1760,11,1760-11-15,-76.382
"4051","Dec",6.1,1760,12,1760-12-15,-76.352
"103","Jan",5.4,1761,1,1761-01-15,-76.321
"462","Feb",5.8,1761,2,1761-02-15,-76.29
"821","Mar",6.8,1761,3,1761-03-15,-76.262
"1180","Apr",9.4,1761,4,1761-04-15,-76.231
"1539","May",11.9,1761,5,1761-05-15,-76.201
"1898","Jun",14.3,1761,6,1761-06-15,-76.17
"2257","Jul",15.8,1761,7,1761-07-15,-76.14
"2616","Aug",16.4,1761,8,1761-08-15,-76.109
"2975","Sep",14.2,1761,9,1761-09-15,-76.078
"3334","Oct",9.4,1761,10,1761-10-15,-76.048
"3693","Nov",6.2,1761,11,1761-11-15,-76.017
"4052","Dec",4.4,1761,12,1761-12-15,-75.987
"104","Jan",4.7,1762,1,1762-01-15,-75.956
"463","Feb",4,1762,2,1762-02-15,-75.925
"822","Mar",3.7,1762,3,1762-03-15,-75.897
"1181","Apr",10,1762,4,1762-04-15,-75.866
"1540","May",12.9,1762,5,1762-05-15,-75.836
"1899","Jun",16.9,1762,6,1762-06-15,-75.805
"2258","Jul",17.8,1762,7,1762-07-15,-75.775
"2617","Aug",15.3,1762,8,1762-08-15,-75.744
"2976","Sep",13.6,1762,9,1762-09-15,-75.713
"3335","Oct",7.9,1762,10,1762-10-15,-75.683
"3694","Nov",4.6,1762,11,1762-11-15,-75.652
"4053","Dec",3.6,1762,12,1762-12-15,-75.622
"105","Jan",-0.8,1763,1,1763-01-15,-75.591
"464","Feb",4.9,1763,2,1763-02-15,-75.56
"823","Mar",5.4,1763,3,1763-03-15,-75.532
"1182","Apr",8.9,1763,4,1763-04-15,-75.501
"1541","May",10.2,1763,5,1763-05-15,-75.471
"1900","Jun",14.6,1763,6,1763-06-15,-75.44
"2259","Jul",15.3,1763,7,1763-07-15,-75.41
"2618","Aug",15.3,1763,8,1763-08-15,-75.379
"2977","Sep",13.1,1763,9,1763-09-15,-75.348
"3336","Oct",8.3,1763,10,1763-10-15,-75.318
"3695","Nov",5.8,1763,11,1763-11-15,-75.287
"4054","Dec",6.2,1763,12,1763-12-15,-75.257
"106","Jan",3.7,1764,1,1764-01-15,-75.226
"465","Feb",3.8,1764,2,1764-02-15,-75.195
"824","Mar",3.9,1764,3,1764-03-15,-75.166
"1183","Apr",7.2,1764,4,1764-04-15,-75.135
"1542","May",12.2,1764,5,1764-05-15,-75.105
"1901","Jun",13.9,1764,6,1764-06-15,-75.074
"2260","Jul",16.1,1764,7,1764-07-15,-75.044
"2619","Aug",15.2,1764,8,1764-08-15,-75.013
"2978","Sep",12.5,1764,9,1764-09-15,-74.982
"3337","Oct",8.9,1764,10,1764-10-15,-74.952
"3696","Nov",4.4,1764,11,1764-11-15,-74.921
"4055","Dec",2.8,1764,12,1764-12-15,-74.891
"107","Jan",4.8,1765,1,1765-01-15,-74.86
"466","Feb",0.4,1765,2,1765-02-15,-74.829
"825","Mar",5,1765,3,1765-03-15,-74.801
"1184","Apr",7.5,1765,4,1765-04-15,-74.77
"1543","May",11.4,1765,5,1765-05-15,-74.74
"1902","Jun",13.8,1765,6,1765-06-15,-74.709
"2261","Jul",15.7,1765,7,1765-07-15,-74.679
"2620","Aug",15.3,1765,8,1765-08-15,-74.648
"2979","Sep",13.3,1765,9,1765-09-15,-74.617
"3338","Oct",9.2,1765,10,1765-10-15,-74.587
"3697","Nov",3.9,1765,11,1765-11-15,-74.556
"4056","Dec",1.7,1765,12,1765-12-15,-74.526
"108","Jan",0.7,1766,1,1766-01-15,-74.495
"467","Feb",1.7,1766,2,1766-02-15,-74.464
"826","Mar",4.2,1766,3,1766-03-15,-74.436
"1185","Apr",8.1,1766,4,1766-04-15,-74.405
"1544","May",9.7,1766,5,1766-05-15,-74.375
"1903","Jun",13.7,1766,6,1766-06-15,-74.344
"2262","Jul",15.7,1766,7,1766-07-15,-74.314
"2621","Aug",16.6,1766,8,1766-08-15,-74.283
"2980","Sep",13.3,1766,9,1766-09-15,-74.252
"3339","Oct",9.3,1766,10,1766-10-15,-74.222
"3698","Nov",7.2,1766,11,1766-11-15,-74.191
"4057","Dec",3.3,1766,12,1766-12-15,-74.161
"109","Jan",0.1,1767,1,1767-01-15,-74.13
"468","Feb",5.4,1767,2,1767-02-15,-74.099
"827","Mar",4.7,1767,3,1767-03-15,-74.071
"1186","Apr",7.3,1767,4,1767-04-15,-74.04
"1545","May",10,1767,5,1767-05-15,-74.01
"1904","Jun",12.8,1767,6,1767-06-15,-73.979
"2263","Jul",14.4,1767,7,1767-07-15,-73.949
"2622","Aug",16.1,1767,8,1767-08-15,-73.918
"2981","Sep",14.1,1767,9,1767-09-15,-73.887
"3340","Oct",9.2,1767,10,1767-10-15,-73.857
"3699","Nov",6.9,1767,11,1767-11-15,-73.826
"4058","Dec",3.3,1767,12,1767-12-15,-73.796
"110","Jan",0.8,1768,1,1768-01-15,-73.765
"469","Feb",4.8,1768,2,1768-02-15,-73.734
"828","Mar",4.7,1768,3,1768-03-15,-73.705
"1187","Apr",8.1,1768,4,1768-04-15,-73.674
"1546","May",12.2,1768,5,1768-05-15,-73.644
"1905","Jun",13.9,1768,6,1768-06-15,-73.613
"2264","Jul",15.6,1768,7,1768-07-15,-73.583
"2623","Aug",16,1768,8,1768-08-15,-73.552
"2982","Sep",11.7,1768,9,1768-09-15,-73.521
"3341","Oct",9.2,1768,10,1768-10-15,-73.491
"3700","Nov",5.6,1768,11,1768-11-15,-73.46
"4059","Dec",4.6,1768,12,1768-12-15,-73.43
"111","Jan",2.5,1769,1,1769-01-15,-73.399
"470","Feb",2.7,1769,2,1769-02-15,-73.368
"829","Mar",5,1769,3,1769-03-15,-73.34
"1188","Apr",7.8,1769,4,1769-04-15,-73.309
"1547","May",11.3,1769,5,1769-05-15,-73.279
"1906","Jun",13.1,1769,6,1769-06-15,-73.248
"2265","Jul",16.4,1769,7,1769-07-15,-73.218
"2624","Aug",15,1769,8,1769-08-15,-73.187
"2983","Sep",12.8,1769,9,1769-09-15,-73.156
"3342","Oct",8.2,1769,10,1769-10-15,-73.126
"3701","Nov",5.7,1769,11,1769-11-15,-73.095
"4060","Dec",4.8,1769,12,1769-12-15,-73.065
"112","Jan",3.7,1770,1,1770-01-15,-73.034
"471","Feb",4.6,1770,2,1770-02-15,-73.003
"830","Mar",2.5,1770,3,1770-03-15,-72.975
"1189","Apr",5.4,1770,4,1770-04-15,-72.944
"1548","May",10,1770,5,1770-05-15,-72.914
"1907","Jun",13.1,1770,6,1770-06-15,-72.883
"2266","Jul",15.3,1770,7,1770-07-15,-72.853
"2625","Aug",15.8,1770,8,1770-08-15,-72.822
"2984","Sep",13.9,1770,9,1770-09-15,-72.791
"3343","Oct",8.9,1770,10,1770-10-15,-72.761
"3702","Nov",5.3,1770,11,1770-11-15,-72.73
"4061","Dec",3.6,1770,12,1770-12-15,-72.7
"113","Jan",1,1771,1,1771-01-15,-72.669
"472","Feb",3.2,1771,2,1771-02-15,-72.638
"831","Mar",3.1,1771,3,1771-03-15,-72.61
"1190","Apr",5.5,1771,4,1771-04-15,-72.579
"1549","May",12.2,1771,5,1771-05-15,-72.549
"1908","Jun",14.3,1771,6,1771-06-15,-72.518
"2267","Jul",15.7,1771,7,1771-07-15,-72.488
"2626","Aug",14.3,1771,8,1771-08-15,-72.457
"2985","Sep",12.2,1771,9,1771-09-15,-72.426
"3344","Oct",9.2,1771,10,1771-10-15,-72.396
"3703","Nov",6.3,1771,11,1771-11-15,-72.365
"4062","Dec",5.6,1771,12,1771-12-15,-72.335
"114","Jan",1.2,1772,1,1772-01-15,-72.304
"473","Feb",1.9,1772,2,1772-02-15,-72.273
"832","Mar",4.4,1772,3,1772-03-15,-72.244
"1191","Apr",6.4,1772,4,1772-04-15,-72.213
"1550","May",10.1,1772,5,1772-05-15,-72.183
"1909","Jun",16.1,1772,6,1772-06-15,-72.152
"2268","Jul",16.9,1772,7,1772-07-15,-72.122
"2627","Aug",16.1,1772,8,1772-08-15,-72.091
"2986","Sep",13,1772,9,1772-09-15,-72.06
"3345","Oct",11.7,1772,10,1772-10-15,-72.03
"3704","Nov",7.2,1772,11,1772-11-15,-71.999
"4063","Dec",4.8,1772,12,1772-12-15,-71.969
"115","Jan",4,1773,1,1773-01-15,-71.938
"474","Feb",2.6,1773,2,1773-02-15,-71.907
"833","Mar",6.5,1773,3,1773-03-15,-71.879
"1192","Apr",8.3,1773,4,1773-04-15,-71.848
"1551","May",10.3,1773,5,1773-05-15,-71.818
"1910","Jun",14.7,1773,6,1773-06-15,-71.787
"2269","Jul",15.9,1773,7,1773-07-15,-71.757
"2628","Aug",17.2,1773,8,1773-08-15,-71.726
"2987","Sep",12.4,1773,9,1773-09-15,-71.695
"3346","Oct",9.9,1773,10,1773-10-15,-71.665
"3705","Nov",5.3,1773,11,1773-11-15,-71.634
"4064","Dec",3.8,1773,12,1773-12-15,-71.604
"116","Jan",0.6,1774,1,1774-01-15,-71.573
"475","Feb",4.3,1774,2,1774-02-15,-71.542
"834","Mar",6.4,1774,3,1774-03-15,-71.514
"1193","Apr",8.6,1774,4,1774-04-15,-71.483
"1552","May",10.9,1774,5,1774-05-15,-71.453
"1911","Jun",14.7,1774,6,1774-06-15,-71.422
"2270","Jul",16.1,1774,7,1774-07-15,-71.392
"2629","Aug",16.1,1774,8,1774-08-15,-71.361
"2988","Sep",12.5,1774,9,1774-09-15,-71.33
"3347","Oct",10.3,1774,10,1774-10-15,-71.3
"3706","Nov",4.8,1774,11,1774-11-15,-71.269
"4065","Dec",3.5,1774,12,1774-12-15,-71.239
"117","Jan",4.6,1775,1,1775-01-15,-71.208
"476","Feb",6.1,1775,2,1775-02-15,-71.177
"835","Mar",6,1775,3,1775-03-15,-71.149
"1194","Apr",9.8,1775,4,1775-04-15,-71.118
"1553","May",12.6,1775,5,1775-05-15,-71.088
"1912","Jun",16.6,1775,6,1775-06-15,-71.057
"2271","Jul",16.7,1775,7,1775-07-15,-71.027
"2630","Aug",15.8,1775,8,1775-08-15,-70.996
"2989","Sep",14.3,1775,9,1775-09-15,-70.965
"3348","Oct",9.3,1775,10,1775-10-15,-70.935
"3707","Nov",4.8,1775,11,1775-11-15,-70.904
"4066","Dec",4.5,1775,12,1775-12-15,-70.874
"118","Jan",-1.6,1776,1,1776-01-15,-70.843
"477","Feb",3.8,1776,2,1776-02-15,-70.812
"836","Mar",6.4,1776,3,1776-03-15,-70.783
"1195","Apr",9.4,1776,4,1776-04-15,-70.752
"1554","May",10.8,1776,5,1776-05-15,-70.722
"1913","Jun",14.1,1776,6,1776-06-15,-70.691
"2272","Jul",16.3,1776,7,1776-07-15,-70.661
"2631","Aug",15.2,1776,8,1776-08-15,-70.63
"2990","Sep",12.9,1776,9,1776-09-15,-70.599
"3349","Oct",10.2,1776,10,1776-10-15,-70.569
"3708","Nov",6.2,1776,11,1776-11-15,-70.538
"4067","Dec",4.4,1776,12,1776-12-15,-70.508
"119","Jan",1.9,1777,1,1777-01-15,-70.477
"478","Feb",2.3,1777,2,1777-02-15,-70.446
"837","Mar",6.8,1777,3,1777-03-15,-70.418
"1196","Apr",7.2,1777,4,1777-04-15,-70.387
"1555","May",11.7,1777,5,1777-05-15,-70.357
"1914","Jun",13.6,1777,6,1777-06-15,-70.326
"2273","Jul",15.3,1777,7,1777-07-15,-70.296
"2632","Aug",15.9,1777,8,1777-08-15,-70.265
"2991","Sep",14.6,1777,9,1777-09-15,-70.234
"3350","Oct",10.2,1777,10,1777-10-15,-70.204
"3709","Nov",6.9,1777,11,1777-11-15,-70.173
"4068","Dec",2.6,1777,12,1777-12-15,-70.143
"120","Jan",1.9,1778,1,1778-01-15,-70.112
"479","Feb",3.2,1778,2,1778-02-15,-70.081
"838","Mar",4.6,1778,3,1778-03-15,-70.053
"1197","Apr",8.2,1778,4,1778-04-15,-70.022
"1556","May",10.6,1778,5,1778-05-15,-69.992
"1915","Jun",15.4,1778,6,1778-06-15,-69.961
"2274","Jul",17.3,1778,7,1778-07-15,-69.931
"2633","Aug",16.8,1778,8,1778-08-15,-69.9
"2992","Sep",12.2,1778,9,1778-09-15,-69.869
"3351","Oct",7.4,1778,10,1778-10-15,-69.839
"3710","Nov",6.7,1778,11,1778-11-15,-69.808
"4069","Dec",6.1,1778,12,1778-12-15,-69.778
"121","Jan",2.9,1779,1,1779-01-15,-69.747
"480","Feb",7.9,1779,2,1779-02-15,-69.716
"839","Mar",7.9,1779,3,1779-03-15,-69.688
"1198","Apr",9.4,1779,4,1779-04-15,-69.657
"1557","May",11.9,1779,5,1779-05-15,-69.627
"1916","Jun",14.4,1779,6,1779-06-15,-69.596
"2275","Jul",17.9,1779,7,1779-07-15,-69.566
"2634","Aug",17.6,1779,8,1779-08-15,-69.535
"2993","Sep",15.2,1779,9,1779-09-15,-69.504
"3352","Oct",10.9,1779,10,1779-10-15,-69.474
"3711","Nov",5.7,1779,11,1779-11-15,-69.443
"4070","Dec",3.1,1779,12,1779-12-15,-69.413
"122","Jan",-0.9,1780,1,1780-01-15,-69.382
"481","Feb",2.1,1780,2,1780-02-15,-69.351
"840","Mar",7.9,1780,3,1780-03-15,-69.322
"1199","Apr",6.3,1780,4,1780-04-15,-69.291
"1558","May",12.8,1780,5,1780-05-15,-69.261
"1917","Jun",14.2,1780,6,1780-06-15,-69.23
"2276","Jul",16.8,1780,7,1780-07-15,-69.2
"2635","Aug",17.6,1780,8,1780-08-15,-69.169
"2994","Sep",15.6,1780,9,1780-09-15,-69.138
"3353","Oct",9.1,1780,10,1780-10-15,-69.108
"3712","Nov",4.4,1780,11,1780-11-15,-69.077
"4071","Dec",3.2,1780,12,1780-12-15,-69.047
"123","Jan",2.1,1781,1,1781-01-15,-69.016
"482","Feb",4.8,1781,2,1781-02-15,-68.985
"841","Mar",6.6,1781,3,1781-03-15,-68.957
"1200","Apr",9.2,1781,4,1781-04-15,-68.926
"1559","May",12.1,1781,5,1781-05-15,-68.896
"1918","Jun",16.2,1781,6,1781-06-15,-68.865
"2277","Jul",17.4,1781,7,1781-07-15,-68.835
"2636","Aug",17.3,1781,8,1781-08-15,-68.804
"2995","Sep",14.2,1781,9,1781-09-15,-68.773
"3354","Oct",10.6,1781,10,1781-10-15,-68.743
"3713","Nov",6.5,1781,11,1781-11-15,-68.712
"4072","Dec",5.4,1781,12,1781-12-15,-68.682
"124","Jan",5.2,1782,1,1782-01-15,-68.651
"483","Feb",1.9,1782,2,1782-02-15,-68.62
"842","Mar",4.1,1782,3,1782-03-15,-68.592
"1201","Apr",5.2,1782,4,1782-04-15,-68.561
"1560","May",9,1782,5,1782-05-15,-68.531
"1919","Jun",14.9,1782,6,1782-06-15,-68.5
"2278","Jul",15.6,1782,7,1782-07-15,-68.47
"2637","Aug",14.2,1782,8,1782-08-15,-68.439
"2996","Sep",13.3,1782,9,1782-09-15,-68.408
"3355","Oct",7.6,1782,10,1782-10-15,-68.378
"3714","Nov",2.3,1782,11,1782-11-15,-68.347
"4073","Dec",2.8,1782,12,1782-12-15,-68.317
"125","Jan",3.4,1783,1,1783-01-15,-68.286
"484","Feb",3.3,1783,2,1783-02-15,-68.255
"843","Mar",3.3,1783,3,1783-03-15,-68.227
"1202","Apr",10.1,1783,4,1783-04-15,-68.196
"1561","May",10.4,1783,5,1783-05-15,-68.166
"1920","Jun",14.8,1783,6,1783-06-15,-68.135
"2279","Jul",18.8,1783,7,1783-07-15,-68.105
"2638","Aug",15.8,1783,8,1783-08-15,-68.074
"2997","Sep",12.8,1783,9,1783-09-15,-68.043
"3356","Oct",9.8,1783,10,1783-10-15,-68.013
"3715","Nov",6.2,1783,11,1783-11-15,-67.982
"4074","Dec",2.7,1783,12,1783-12-15,-67.952
"126","Jan",-0.6,1784,1,1784-01-15,-67.921
"485","Feb",1.4,1784,2,1784-02-15,-67.89
"844","Mar",2.7,1784,3,1784-03-15,-67.861
"1203","Apr",5.7,1784,4,1784-04-15,-67.83
"1562","May",13.5,1784,5,1784-05-15,-67.8
"1921","Jun",13.7,1784,6,1784-06-15,-67.769
"2280","Jul",15.2,1784,7,1784-07-15,-67.739
"2639","Aug",14,1784,8,1784-08-15,-67.708
"2998","Sep",14.8,1784,9,1784-09-15,-67.677
"3357","Oct",7.8,1784,10,1784-10-15,-67.647
"3716","Nov",5.5,1784,11,1784-11-15,-67.616
"4075","Dec",0.3,1784,12,1784-12-15,-67.586
"127","Jan",3.4,1785,1,1785-01-15,-67.555
"486","Feb",0.4,1785,2,1785-02-15,-67.524
"845","Mar",1.2,1785,3,1785-03-15,-67.496
"1204","Apr",8.4,1785,4,1785-04-15,-67.465
"1563","May",12.3,1785,5,1785-05-15,-67.435
"1922","Jun",16.1,1785,6,1785-06-15,-67.404
"2281","Jul",16.1,1785,7,1785-07-15,-67.374
"2640","Aug",13.9,1785,8,1785-08-15,-67.343
"2999","Sep",13.6,1785,9,1785-09-15,-67.312
"3358","Oct",8.7,1785,10,1785-10-15,-67.282
"3717","Nov",5.6,1785,11,1785-11-15,-67.251
"4076","Dec",2.8,1785,12,1785-12-15,-67.221
"128","Jan",2.7,1786,1,1786-01-15,-67.19
"487","Feb",3.4,1786,2,1786-02-15,-67.159
"846","Mar",2.1,1786,3,1786-03-15,-67.131
